day,type,title,subtitle,heading,data1,value1,data2,value2,data3,value3,caption,hashtags
1,title,サイゼリヤ500円で,タンパク質35.3g,,,,,,,,サイゼリヤの若鶏のグリル。500円でタンパク質35.3g。プロテイン2杯分を1食で。筋トレ民がサイゼを「聖地」と呼ぶ理由がこれ。,#ダイエット #サイゼリヤ #筋トレ飯 #外食ダイエット #たべなび
1,data,若鶏のグリル 栄養データ,,栄養成分,カロリー,514kcal,タンパク質,35.3g,脂質,28.7g,,
1,data,コスパ比較,,タンパク質1gの価格,サイゼ若鶏のグリル,¥14.2/g,コンビニサラダチキン,¥9.9/g,プロテイン1杯,¥15〜20/g,,
1,cta,,,,,,,,,,,
2,title,マクドナルドの,ハンバーガー 259kcal,,,,,,,,マクドナルドのハンバーガー、実は259kcal。セットじゃなく単品で頼むだけでダイエット飯になる。外食＝太るは知識不足なだけ。,#マクドナルド #ダイエット #カロリー #外食 #たべなび
2,data,低カロリーTOP3,,マクドナルド低カロリー,ハンバーガー,259kcal,エッグマックマフィン,311kcal,チキンクリスプ,345kcal,,
2,data,セットの罠,,セットにすると…,ハンバーガー単品,259kcal,＋ポテトM,410kcal,＋コーラM,140kcal,,
2,cta,,,,,,,,,,,
3,title,牛丼チェーン3社,カロリーが全然違う,,,,,,,,同じ「牛丼並盛」でもカロリーが違う。吉野家635 松屋640 すき家638。でもすき家には352kcalの「牛丼ライト」がある。これ知ってるだけで月1kg変わる。,#牛丼 #ダイエット #吉野家 #松屋 #すき家
3,data,並盛カロリー比較,,牛丼 並盛,吉野家,635kcal,松屋,640kcal,すき家,638kcal,,
3,data,最強の裏技,,すき家 牛丼ライト,カロリー,352kcal,タンパク質,20g,ご飯→豆腐に変更,糖質大幅カット,,
3,cta,,,,,,,,,,,
4,title,外食だけで,1日1500kcal達成する方法,,,,,,,,外食だけで1日1500kcal。朝コンビニ350kcal＋昼サイゼ514kcal＋夜吉野家398kcal＝1262kcal。自炊ゼロでも月2kgペースで落ちる計算。,#ダイエット #食事プラン #1500kcal #外食 #たべなび
4,data,1日プラン例,,朝昼晩メニュー,朝：サラダチキン+おにぎり,350kcal,昼：サイゼ若鶏のグリル,514kcal,夜：ライザップ牛サラダ,398kcal,,
4,data,1日合計,,合計PFC,カロリー合計,1262kcal,タンパク質合計,約85g,月の体重変化,−2kg/月ペース,,
4,cta,,,,,,,,,,,
5,title,飲み会1回の,カロリーは2000kcal超え,,,,,,,,飲み会1回の平均カロリー2000kcal超え。でも犯人はお酒じゃない。ハイボール70kcal。犯人は唐揚げ300kcalとシメのラーメン500kcal。つまみを変えろ。,#飲み会 #ダイエット #カロリー #居酒屋 #たべなび
5,data,お酒のカロリー,,お酒カロリー比較,ビール中ジョッキ,145kcal,ハイボール,70kcal,レモンサワー,110kcal,,
5,data,太る本当の原因,,おつまみカロリー,唐揚げ1皿,300kcal,フライドポテト,350kcal,シメのラーメン,500kcal,,
5,cta,,,,,,,,,,,
6,title,丸亀製麺のうどん,実は脂質1.5gだった,,,,,,,,丸亀製麺のかけうどん。305kcal、脂質1.5g。ラーメンの脂質20gの13分の1。うどん＝太るは完全に誤解。ただし天ぷら乗せたら終わり。,#丸亀製麺 #ダイエット #うどん #低脂質 #たべなび
6,data,かけうどんの栄養,,かけうどん（並）,カロリー,305kcal,脂質,1.5g,炭水化物,62.8g,,
6,data,天ぷらの落とし穴,,天ぷらカロリー,かしわ天,140kcal,野菜かき揚げ,250kcal,えび天,90kcal,,
6,cta,,,,,,,,,,,
7,title,スタバで,100kcal以下にする方法,,,,,,,,スタバのフラペチーノ1杯500kcal。でもやめなくていい。ドリップコーヒー15kcal。カフェラテ無脂肪88kcal。注文を1つ変えるだけ。,#スタバ #ダイエット #カロリー #カスタマイズ #たべなび
7,data,低カロリードリンク,,100kcal以下ドリンク,ドリップコーヒー,15kcal,アイスティー,0kcal,カフェラテ（無脂肪）,88kcal,,
7,data,カスタマイズ3原則,,カロリーを下げるコツ,ミルク→無脂肪に変更,−50kcal,シロップ半量,−30kcal,ホイップ抜き,−80kcal,,
7,cta,,,,,,,,,,,
8,title,ケンタッキーは,意外と高タンパク,,,,,,,,ケンタッキーのオリジナルチキン1ピース。237kcal、タンパク質16.7g。タンパク質含有率28%。サラダチキンとほぼ同じ。KFCはジャンクフードじゃない。,#ケンタッキー #KFC #筋トレ飯 #高タンパク #たべなび
8,data,オリジナルチキン,,1ピースの栄養,カロリー,237kcal,タンパク質,16.7g,タンパク質含有率,約28%,,
8,data,高タンパク比較,,タンパク質含有率,KFCチキン,28%,サラダチキン,30%,牛丼並盛,約10%,,
8,cta,,,,,,,,,,,
9,title,タンパク質コスパ,最強はどこ？,,,,,,,,タンパク質1gあたりの価格。サイゼ若鶏¥14.2。マック倍ビッグマック¥14.8。コンビニサラダチキン¥9.9。プロテインより安い外食メニュー、普通にある。,#筋トレ #タンパク質 #コスパ #外食 #たべなび
9,data,コスパTOP5,,タンパク質1gの価格,1位 サラダチキン,¥9.9/g,2位 サイゼ若鶏,¥14.2/g,3位 倍ビッグマック,¥14.8/g,,
9,data,月額シミュレーション,,1日P100g摂る場合,外食のみ（月30日）,約¥42,000,プロテイン併用,約¥35,000,差額,約¥7,000/月,,
9,cta,,,,,,,,,,,
10,title,79kgから66kgになった,やったことは1つだけ,,,,,,,,79kg→66kg。13kg減。自炊ゼロ。ジムなし（最初の3ヶ月）。やったのは「外食の選び方」を変えただけ。食べたいものを我慢するダイエットは続かない。,#ダイエット #ビフォーアフター #13kg減 #外食ダイエット #たべなび
10,data,3ヶ月の変化,,体重の推移,開始時,79kg,1ヶ月目,74kg,3ヶ月目,68kg,,
